Id,City,Population
1600000US0100124,"Abbeville city, Alabama",2987
1600000US0100460,"Adamsville city, Alabama",4965
1600000US0100484,"Addison town, Alabama",723
1600000US0100676,"Akron town, Alabama",521
1600000US0100820,"Alabaster city, Alabama",22619
1600000US0100988,"Albertville city, Alabama",17247
1600000US0101132,"Alexander City city, Alabama",15008
1600000US0101180,"Alexandria CDP, Alabama",3692
1600000US0101228,"Aliceville city, Alabama",2567
1600000US0101396,"Allgood town, Alabama",629
1600000US0101660,"Altoona town, Alabama",984
1600000US0101708,"Andalusia city, Alabama",8794
1600000US0101756,"Anderson town, Alabama",354
1600000US0101852,"Anniston city, Alabama",24276
1600000US0102116,"Arab city, Alabama",7174
1600000US0102260,"Ardmore town, Alabama",1034
1600000US0102320,"Argo town, Alabama",1780
1600000US0102428,"Ariton town, Alabama",772
1600000US0102500,"Arley town, Alabama",290
1600000US0102836,"Ashford city, Alabama",1853
1600000US0102860,"Ashland city, Alabama",1965
1600000US0102908,"Ashville town, Alabama",2260
1600000US0102956,"Athens city, Alabama",18967
1600000US0103004,"Atmore city, Alabama",7676
1600000US0103028,"Attalla city, Alabama",6592
1600000US0103076,"Auburn city, Alabama",42987
1600000US0103220,"Autaugaville town, Alabama",820
1600000US0103364,"Avon town, Alabama",466
1600000US0103556,"Babbie town, Alabama",627
1600000US0103676,"Baileyton town, Alabama",684
1600000US0103940,"Banks town, Alabama",224
1600000US0104660,"Bay Minette city, Alabama",7820
1600000US0104684,"Bayou La Batre city, Alabama",2313
1600000US0104852,"Bear Creek town, Alabama",1053
1600000US0104900,"Beatrice town, Alabama",412
1600000US0104948,"Beaverton town, Alabama",226
1600000US0105164,"Belk town, Alabama",214
1600000US0105932,"Berry town, Alabama",1238
1600000US0105980,"Bessemer city, Alabama",29672
1600000US0106460,"Billingsley town, Alabama",116
1600000US0107000,"Birmingham city, Alabama",242820
1600000US0107120,"Black town, Alabama",202
1600000US0107456,"Blountsville town, Alabama",1768
1600000US0107552,"Blue Mountain town, Alabama",233
1600000US0107588,"Blue Ridge CDP, Alabama",1331
1600000US0107672,"Blue Springs town, Alabama",121
1600000US0107912,"Boaz city, Alabama",7411
1600000US0108104,"Boligee town, Alabama",369
1600000US0108920,"Branchville town, Alabama",825
1600000US0109016,"Brantley town, Alabama",920
1600000US0109136,"Brent city, Alabama",4024
1600000US0109208,"Brewton city, Alabama",5498
1600000US0109328,"Bridgeport city, Alabama",2728
1600000US0109400,"Brighton city, Alabama",3640
1600000US0109424,"Brilliant town, Alabama",762
1600000US0109736,"Brookside town, Alabama",1393
1600000US0109808,"Brookwood town, Alabama",1483
1600000US0110240,"Brundidge city, Alabama",2341
1600000US0111032,"Butler city, Alabama",1952
1600000US0111128,"Bynum CDP, Alabama",1863
1600000US0111248,"Cahaba Heights CDP, Alabama",5203
1600000US0111416,"Calera city, Alabama",3158
1600000US0111512,"Camden town, Alabama",2257
1600000US0111680,"Camp Hill town, Alabama",1273
1600000US0112016,"Carbon Hill city, Alabama",2071
1600000US0112160,"Carolina town, Alabama",248
1600000US0112304,"Carrollton town, Alabama",987
1600000US0112496,"Castleberry town, Alabama",590
1600000US0112760,"Cedar Bluff town, Alabama",1467
1600000US0113264,"Center Point CDP, Alabama",22784
1600000US0113648,"Centre city, Alabama",3216
1600000US0113672,"Centreville city, Alabama",2466
1600000US0113720,"Chalkville CDP, Alabama",3829
1600000US0114008,"Chatom town, Alabama",1193
1600000US0114104,"Chelsea town, Alabama",2949
1600000US0114152,"Cherokee town, Alabama",1237
1600000US0114392,"Chickasaw city, Alabama",6364
1600000US0114464,"Childersburg city, Alabama",4927
1600000US0115064,"Citronelle city, Alabama",3659
1600000US0115136,"Clanton city, Alabama",7800
1600000US0115256,"Clay CDP, Alabama",4947
1600000US0115304,"Clayhatchee town, Alabama",501
1600000US0115376,"Clayton town, Alabama",1475
1600000US0115472,"Cleveland town, Alabama",1241
1600000US0115640,"Clio town, Alabama",2206
1600000US0116000,"Coaling city, Alabama",1115
1600000US0116240,"Coffee Springs town, Alabama",251
1600000US0116264,"Coffeeville town, Alabama",360
1600000US0116312,"Coker town, Alabama",808
1600000US0116600,"Collinsville town, Alabama",1644
1600000US0116684,"Colony town, Alabama",385
1600000US0116744,"Columbia town, Alabama",804
1600000US0116768,"Columbiana city, Alabama",3316
1600000US0116936,"Concord CDP, Alabama",1809
1600000US0117176,"Coosada town, Alabama",1382
1600000US0117368,"Cordova city, Alabama",2423
1600000US0117824,"Cottonwood town, Alabama",1170
1600000US0117968,"County Line town, Alabama",257
1600000US0118040,"Courtland town, Alabama",769
1600000US0118088,"Cowarts town, Alabama",1546
1600000US0118304,"Creola town, Alabama",2002
1600000US0118856,"Crossville town, Alabama",1431
1600000US0118952,"Cuba town, Alabama",363
1600000US0118976,"Cullman city, Alabama",13995
1600000US0119336,"Dadeville city, Alabama",3212
1600000US0119360,"Daleville city, Alabama",4653
1600000US0119648,"Daphne city, Alabama",16581
1600000US0119744,"Dauphin Island town, Alabama",1371
1600000US0119816,"Daviston town, Alabama",267
1600000US0120008,"Deatsville town, Alabama",340
1600000US0120104,"Decatur city, Alabama",53929
1600000US0120296,"Demopolis city, Alabama",7540
1600000US0120392,"Detroit town, Alabama",247
1600000US0120955,"Dodge City town, Alabama",612
1600000US0121136,"Dora city, Alabama",2413
1600000US0121184,"Dothan city, Alabama",57737
1600000US0121280,"Double Springs town, Alabama",1003
1600000US0121328,"Douglas town, Alabama",530
1600000US0121448,"Dozier town, Alabama",391
1600000US0121952,"Dutton town, Alabama",310
1600000US0122216,"East Brewton city, Alabama",2496
1600000US0122816,"Eclectic town, Alabama",1037
1600000US0123032,"Edgewater CDP, Alabama",730
1600000US0123176,"Edwardsville town, Alabama",186
1600000US0123296,"Elba city, Alabama",4185
1600000US0123320,"Elberta town, Alabama",552
1600000US0123344,"Eldridge town, Alabama",184
1600000US0123488,"Elkmont town, Alabama",470
1600000US0123656,"Elmore town, Alabama",199
1600000US0124184,"Enterprise city, Alabama",21178
1600000US0124256,"Epes town, Alabama",206
1600000US0124568,"Eufaula city, Alabama",13908
1600000US0124616,"Eunola town, Alabama",182
1600000US0124664,"Eutaw city, Alabama",1878
1600000US0124688,"Eva town, Alabama",491
1600000US0124808,"Evergreen city, Alabama",3630
1600000US0124880,"Excel town, Alabama",582
1600000US0125120,"Fairfield city, Alabama",12381
1600000US0125240,"Fairhope city, Alabama",12480
1600000US0125384,"Fairview town, Alabama",522
1600000US0125648,"Falkville town, Alabama",1202
1600000US0125840,"Fayette city, Alabama",4922
1600000US0126200,"Five Points town, Alabama",146
1600000US0126824,"Flomaton town, Alabama",1588
1600000US0126848,"Florala city, Alabama",1964
1600000US0126896,"Florence city, Alabama",36264
1600000US0126992,"Foley city, Alabama",7590
1600000US0127088,"Forestdale CDP, Alabama",10509
1600000US0127376,"Forkland town, Alabama",629
1600000US0127520,"Fort Deposit town, Alabama",1270
1600000US0127616,"Fort Payne city, Alabama",12938
1600000US0127640,"Fort Rucker CDP, Alabama",6052
1600000US0128024,"Franklin town, Alabama",149
1600000US0128312,"Frisco City town, Alabama",1460
1600000US0128432,"Fruithurst city, Alabama",270
1600000US0128504,"Fulton town, Alabama",308
1600000US0128552,"Fultondale city, Alabama",6595
1600000US0128672,"Fyffe town, Alabama",971
1600000US0128696,"Gadsden city, Alabama",38978
