Id,City,Population estimate
1600000US3651000,"New York city, New York",8491079
1600000US0644000,"Los Angeles city, California",3928827
1600000US1714000,"Chicago city, Illinois",2722407
1600000US4835000,"Houston city, Texas",2240796
1600000US4260000,"Philadelphia city, Pennsylvania",1560297
1600000US0455000,"Phoenix city, Arizona",1537045
1600000US4865000,"San Antonio city, Texas",1436723
1600000US0666000,"San Diego city, California",1381083
1600000US4819000,"Dallas city, Texas",1281031
1600000US0668000,"San Jose city, California",1015796
1600000US4805000,"Austin city, Texas",912798
1600000US1235000,"Jacksonville city, Florida",853376
1600000US0667000,"San Francisco city, California",852469
1600000US1836003,"Indianapolis city (balance), Indiana",851353
1600000US3918000,"Columbus city, Ohio",836293
1600000US4827000,"Fort Worth city, Texas",812553
1600000US3712000,"Charlotte city, North Carolina",809974
1600000US2622000,"Detroit city, Michigan",680281
1600000US4824000,"El Paso city, Texas",679024
1600000US5363000,"Seattle city, Washington",668337
1600000US0820000,"Denver city, Colorado",663862
1600000US1150000,"Washington city, District of Columbia",658893
1600000US4748000,"Memphis city, Tennessee",656876
1600000US2507000,"Boston city, Massachusetts",656051
1600000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",644008
1600000US2404000,"Baltimore city, Maryland",622793
1600000US4055000,"Oklahoma City city, Oklahoma",620553
1600000US4159000,"Portland city, Oregon",619445
1600000US3240000,"Las Vegas city, Nevada",613590
1600000US2148006,"Louisville/Jefferson County metro government (balance), Kentucky",612775
1600000US5553000,"Milwaukee city, Wisconsin",599653
1600000US3502000,"Albuquerque city, New Mexico",557172
1600000US0477000,"Tucson city, Arizona",527948
1600000US0627000,"Fresno city, California",515985
1600000US0664000,"Sacramento city, California",485193
1600000US0643000,"Long Beach city, California",473605
1600000US2938000,"Kansas City city, Missouri",470816
1600000US0446000,"Mesa city, Arizona",464682
1600000US1304000,"Atlanta city, Georgia",456012
1600000US5182000,"Virginia Beach city, Virginia",450980
1600000US3137000,"Omaha city, Nebraska",446618
1600000US0816000,"Colorado Springs city, Colorado",445820
1600000US3755000,"Raleigh city, North Carolina",439884
1600000US1245000,"Miami city, Florida",430341
1600000US0653000,"Oakland city, California",413782
1600000US2743000,"Minneapolis city, Minnesota",407181
1600000US4075000,"Tulsa city, Oklahoma",399274
1600000US3916000,"Cleveland city, Ohio",389524
1600000US2079000,"Wichita city, Kansas",388413
1600000US2255000,"New Orleans city, Louisiana",384320
1600000US4804000,"Arlington city, Texas",383202
1600000US0603526,"Bakersfield city, California",368748
1600000US1271000,"Tampa city, Florida",358684
1600000US0804000,"Aurora city, Colorado",353381
1600000US1571550,"Urban Honolulu CDP, Hawaii",350403
1600000US0602000,"Anaheim city, California",346961
1600000US0669000,"Santa Ana city, California",334924
1600000US4817000,"Corpus Christi city, Texas",320431
1600000US0662000,"Riverside city, California",319519
1600000US2965000,"St. Louis city, Missouri",317419
1600000US2146027,"Lexington-Fayette urban county, Kentucky",310797
1600000US4261000,"Pittsburgh city, Pennsylvania",305434
1600000US0675000,"Stockton city, California",302405
1600000US0203000,"Anchorage municipality, Alaska",301010
1600000US3915000,"Cincinnati city, Ohio",298162
1600000US2758000,"St. Paul city, Minnesota",297644
1600000US3728000,"Greensboro city, North Carolina",282558
1600000US3977000,"Toledo city, Ohio",281014
1600000US3451000,"Newark city, New Jersey",280577
1600000US4858016,"Plano city, Texas",277910
1600000US3231900,"Henderson city, Nevada",277458
1600000US3128000,"Lincoln city, Nebraska",273002
1600000US1253000,"Orlando city, Florida",262396
1600000US3436000,"Jersey City city, New Jersey",262146
1600000US0613392,"Chula Vista city, California",260977
1600000US3611000,"Buffalo city, New York",258699
1600000US1825000,"Fort Wayne city, Indiana",256023
1600000US0412000,"Chandler city, Arizona",254275
1600000US4841464,"Laredo city, Texas",253747
1600000US1263000,"St. Petersburg city, Florida",253682
1600000US3719000,"Durham city, North Carolina",251872
1600000US0636770,"Irvine city, California",248521
1600000US5548000,"Madison city, Wisconsin",245674
1600000US5157000,"Norfolk city, Virginia",245428
1600000US4845000,"Lubbock city, Texas",243843
1600000US0427400,"Gilbert town, Arizona",239282
1600000US3775000,"Winston-Salem city, North Carolina",239273
1600000US0427820,"Glendale city, Arizona",237529
1600000US3254600,"Paradise CDP, Nevada",237477
1600000US3260600,"Reno city, Nevada",236995
1600000US4829000,"Garland city, Texas",235597
1600000US1230000,"Hialeah city, Florida",235566
1600000US5116000,"Chesapeake city, Virginia",233371
1600000US4837000,"Irving city, Texas",232413
1600000US3251800,"North Las Vegas city, Nevada",230793
1600000US0465000,"Scottsdale city, Arizona",230502
1600000US2205000,"Baton Rouge city, Louisiana",228909
1600000US0626000,"Fremont city, California",228760
1600000US5103000,"Arlington CDP, Virginia",226908
1600000US5167000,"Richmond city, Virginia",217853
1600000US1608830,"Boise City city, Idaho",216280
1600000US0665000,"San Bernardino city, California",215227
1600000US0107000,"Birmingham city, Alabama",212653
1600000US5367000,"Spokane city, Washington",212067
1600000US3663000,"Rochester city, New York",209974
1600000US0648354,"Modesto city, California",209308
1600000US1921000,"Des Moines city, Iowa",209064
1600000US0654652,"Oxnard city, California",205434
1600000US5370000,"Tacoma city, Washington",205153
1600000US0624680,"Fontana city, California",204953
1600000US3722920,"Fayetteville city, North Carolina",203939
1600000US0649270,"Moreno Valley city, California",202978
1600000US1319000,"Columbus city, Georgia",200887
1600000US0636000,"Huntington Beach city, California",200814
1600000US1703012,"Aurora city, Illinois",200708
