Id,City,Population,Cities,Population,City,Population estimate
1600000US0100124,"Abbeville city, Alabama",2987,"Abbeville city, Alabama",2688,,
1600000US0100460,"Adamsville city, Alabama",4965,"Adamsville city, Alabama",4522,,
1600000US0100484,"Addison town, Alabama",723,"Addison town, Alabama",758,,
1600000US0100676,"Akron town, Alabama",521,"Akron town, Alabama",356,,
1600000US0100820,"Alabaster city, Alabama",22619,"Alabaster city, Alabama",30352,,
1600000US0100988,"Albertville city, Alabama",17247,"Albertville city, Alabama",21160,,
1600000US0101132,"Alexander City city, Alabama",15008,"Alexander City city, Alabama",14875,,
1600000US0101180,"Alexandria CDP, Alabama",3692,"Alexandria CDP, Alabama",3917,,
1600000US0101228,"Aliceville city, Alabama",2567,"Aliceville city, Alabama",2486,,
1600000US0101396,"Allgood town, Alabama",629,"Allgood town, Alabama",622,,
1600000US0101660,"Altoona town, Alabama",984,"Altoona town, Alabama",933,,
1600000US0101708,"Andalusia city, Alabama",8794,"Andalusia city, Alabama",9015,,
1600000US0101756,"Anderson town, Alabama",354,"Anderson town, Alabama",282,,
1600000US0101852,"Anniston city, Alabama",24276,"Anniston city, Alabama",23106,,
1600000US0102116,"Arab city, Alabama",7174,"Arab city, Alabama",8050,,
1600000US0102260,"Ardmore town, Alabama",1034,"Ardmore town, Alabama",1194,,
1600000US0102320,"Argo town, Alabama",1780,"Argo town, Alabama",4071,,
1600000US0102428,"Ariton town, Alabama",772,"Ariton town, Alabama",764,,
1600000US0102500,"Arley town, Alabama",290,"Arley town, Alabama",357,,
1600000US0102836,"Ashford city, Alabama",1853,"Ashford town, Alabama",2148,,
1600000US0102860,"Ashland city, Alabama",1965,"Ashland town, Alabama",2037,,
1600000US0102908,"Ashville town, Alabama",2260,"Ashville city, Alabama",2212,,
1600000US0102956,"Athens city, Alabama",18967,"Athens city, Alabama",21897,,
1600000US0103004,"Atmore city, Alabama",7676,"Atmore city, Alabama",10194,,
1600000US0103028,"Attalla city, Alabama",6592,"Attalla city, Alabama",6048,,
1600000US0103076,"Auburn city, Alabama",42987,"Auburn city, Alabama",53380(r38811),,
1600000US0103220,"Autaugaville town, Alabama",820,"Autaugaville town, Alabama",870,,
1600000US0103364,"Avon town, Alabama",466,"Avon town, Alabama",543,,
1600000US0103556,"Babbie town, Alabama",627,"Babbie town, Alabama",603,,
1600000US0103676,"Baileyton town, Alabama",684,"Baileyton town, Alabama",610,,
1600000US0103940,"Banks town, Alabama",224,"Banks town, Alabama",179,,
1600000US0104660,"Bay Minette city, Alabama",7820,"Bay Minette city, Alabama",8044,,
1600000US0104684,"Bayou La Batre city, Alabama",2313,"Bayou La Batre city, Alabama",2558,,
1600000US0104852,"Bear Creek town, Alabama",1053,"Bear Creek town, Alabama",1070,,
1600000US0104900,"Beatrice town, Alabama",412,"Beatrice town, Alabama",301,,
1600000US0104948,"Beaverton town, Alabama",226,"Beaverton town, Alabama",201,,
1600000US0105164,"Belk town, Alabama",214,"Belk town, Alabama",215,,
1600000US0105932,"Berry town, Alabama",1238,"Berry town, Alabama",1148,,
1600000US0105980,"Bessemer city, Alabama",29672,"Bessemer city, Alabama",27456,,
1600000US0106460,"Billingsley town, Alabama",116,"Billingsley town, Alabama",144,,
1600000US0107000,"Birmingham city, Alabama",242820,"Birmingham city, Alabama",212237(r38812),"Birmingham city, Alabama",212653
1600000US0107120,"Black town, Alabama",202,"Black town, Alabama",207,,
1600000US0107456,"Blountsville town, Alabama",1768,"Blountsville town, Alabama",1684,,
1600000US0107552,"Blue Mountain town, Alabama",233,,,,
1600000US0107588,"Blue Ridge CDP, Alabama",1331,"Blue Ridge CDP, Alabama",1341,,
1600000US0107672,"Blue Springs town, Alabama",121,"Blue Springs town, Alabama",96,,
1600000US0107912,"Boaz city, Alabama",7411,"Boaz city, Alabama",9551,,
1600000US0108104,"Boligee town, Alabama",369,"Boligee town, Alabama",328,,
1600000US0108920,"Branchville town, Alabama",825,,,,
1600000US0109016,"Brantley town, Alabama",920,"Brantley town, Alabama",809,,
1600000US0109136,"Brent city, Alabama",4024,"Brent city, Alabama",4947,,
1600000US0109208,"Brewton city, Alabama",5498,"Brewton city, Alabama",5408,,
1600000US0109328,"Bridgeport city, Alabama",2728,"Bridgeport city, Alabama",2418,,
1600000US0109400,"Brighton city, Alabama",3640,"Brighton city, Alabama",2945,,
1600000US0109424,"Brilliant town, Alabama",762,"Brilliant town, Alabama",900,,
1600000US0109736,"Brookside town, Alabama",1393,"Brookside town, Alabama",1363,,
1600000US0109808,"Brookwood town, Alabama",1483,"Brookwood town, Alabama",1828,,
1600000US0110240,"Brundidge city, Alabama",2341,"Brundidge city, Alabama",2076,,
1600000US0111032,"Butler city, Alabama",1952,"Butler town, Alabama",1894,,
1600000US0111128,"Bynum CDP, Alabama",1863,,,,
1600000US0111248,"Cahaba Heights CDP, Alabama",5203,,,,
1600000US0111416,"Calera city, Alabama",3158,"Calera city, Alabama",11620,,
1600000US0111512,"Camden town, Alabama",2257,"Camden city, Alabama",2020,,
1600000US0111680,"Camp Hill town, Alabama",1273,"Camp Hill town, Alabama",1014,,
1600000US0112016,"Carbon Hill city, Alabama",2071,"Carbon Hill city, Alabama",2021,,
1600000US0112160,"Carolina town, Alabama",248,"Carolina town, Alabama",297,,
1600000US0112304,"Carrollton town, Alabama",987,"Carrollton town, Alabama",1019,,
1600000US0112496,"Castleberry town, Alabama",590,"Castleberry town, Alabama",583,,
1600000US0112760,"Cedar Bluff town, Alabama",1467,"Cedar Bluff town, Alabama",1820,,
1600000US0113264,"Center Point CDP, Alabama",22784,"Center Point city, Alabama",16921,,
1600000US0113648,"Centre city, Alabama",3216,"Centre city, Alabama",3489,,
1600000US0113672,"Centreville city, Alabama",2466,"Centreville city, Alabama",2778,,
1600000US0113720,"Chalkville CDP, Alabama",3829,,,,
1600000US0114008,"Chatom town, Alabama",1193,"Chatom town, Alabama",1288,,
1600000US0114104,"Chelsea town, Alabama",2949,"Chelsea city, Alabama",10183,,
1600000US0114152,"Cherokee town, Alabama",1237,"Cherokee town, Alabama",1048,,
1600000US0114392,"Chickasaw city, Alabama",6364,"Chickasaw city, Alabama",6106,,
1600000US0114464,"Childersburg city, Alabama",4927,"Childersburg city, Alabama",5175,,
1600000US0115064,"Citronelle city, Alabama",3659,"Citronelle city, Alabama",3905,,
1600000US0115136,"Clanton city, Alabama",7800,"Clanton city, Alabama",8619,,
1600000US0115256,"Clay CDP, Alabama",4947,"Clay city, Alabama",9708,,
1600000US0115304,"Clayhatchee town, Alabama",501,"Clayhatchee town, Alabama",589,,
1600000US0115376,"Clayton town, Alabama",1475,"Clayton town, Alabama",3008,,
1600000US0115472,"Cleveland town, Alabama",1241,"Cleveland town, Alabama",1303,,
1600000US0115640,"Clio town, Alabama",2206,"Clio city, Alabama",1399,,
1600000US0116000,"Coaling city, Alabama",1115,"Coaling town, Alabama",1657,,
1600000US0116240,"Coffee Springs town, Alabama",251,"Coffee Springs town, Alabama",228,,
1600000US0116264,"Coffeeville town, Alabama",360,"Coffeeville town, Alabama",352,,
1600000US0116312,"Coker town, Alabama",808,"Coker town, Alabama",979,,
1600000US0116600,"Collinsville town, Alabama",1644,"Collinsville town, Alabama",1983,,
1600000US0116684,"Colony town, Alabama",385,"Colony town, Alabama",268,,
1600000US0116744,"Columbia town, Alabama",804,"Columbia town, Alabama",740,,
1600000US0116768,"Columbiana city, Alabama",3316,"Columbiana city, Alabama",4197,,
1600000US0116936,"Concord CDP, Alabama",1809,"Concord CDP, Alabama",1837,,
1600000US0117176,"Coosada town, Alabama",1382,"Coosada town, Alabama",1224,,
1600000US0117368,"Cordova city, Alabama",2423,"Cordova city, Alabama",2095,,
1600000US0117824,"Cottonwood town, Alabama",1170,"Cottonwood town, Alabama",1289,,
1600000US0117968,"County Line town, Alabama",257,"County Line town, Alabama",258,,
1600000US0118040,"Courtland town, Alabama",769,"Courtland town, Alabama",609,,
1600000US0118088,"Cowarts town, Alabama",1546,"Cowarts town, Alabama",1871,,
1600000US0118304,"Creola town, Alabama",2002,"Creola city, Alabama",1926,,
1600000US0118856,"Crossville town, Alabama",1431,"Crossville town, Alabama",1862,,
1600000US0118952,"Cuba town, Alabama",363,"Cuba town, Alabama",346,,
1600000US0118976,"Cullman city, Alabama",13995,"Cullman city, Alabama",14775,,
1600000US0119336,"Dadeville city, Alabama",3212,"Dadeville city, Alabama",3230,,
1600000US0119360,"Daleville city, Alabama",4653,"Daleville city, Alabama",5295,,
1600000US0119648,"Daphne city, Alabama",16581,"Daphne city, Alabama",21570,,
1600000US0119744,"Dauphin Island town, Alabama",1371,"Dauphin Island town, Alabama",1238,,
1600000US0119816,"Daviston town, Alabama",267,"Daviston town, Alabama",214,,
1600000US0120008,"Deatsville town, Alabama",340,"Deatsville town, Alabama",1154,,
1600000US0120104,"Decatur city, Alabama",53929,"Decatur city, Alabama",55683,,
1600000US0120296,"Demopolis city, Alabama",7540,"Demopolis city, Alabama",7483,,
1600000US0120392,"Detroit town, Alabama",247,"Detroit town, Alabama",237,,
1600000US0120955,"Dodge City town, Alabama",612,"Dodge City town, Alabama",593,,
1600000US0121136,"Dora city, Alabama",2413,"Dora city, Alabama",2025,,
1600000US0121184,"Dothan city, Alabama",57737,"Dothan city, Alabama",65496,"Dothan city, Alabama",69400
1600000US0121280,"Double Springs town, Alabama",1003,"Double Springs town, Alabama",1083,,
1600000US0121328,"Douglas town, Alabama",530,"Douglas town, Alabama",744,,
1600000US0121448,"Dozier town, Alabama",391,"Dozier town, Alabama",329,,
1600000US0121952,"Dutton town, Alabama",310,"Dutton town, Alabama",315,,
1600000US0122216,"East Brewton city, Alabama",2496,"East Brewton city, Alabama",2478,,
1600000US0122816,"Eclectic town, Alabama",1037,"Eclectic town, Alabama",1001,,
1600000US0123032,"Edgewater CDP, Alabama",730,"Edgewater CDP, Alabama",883,,
1600000US0123176,"Edwardsville town, Alabama",186,"Edwardsville town, Alabama",202,,
1600000US0123296,"Elba city, Alabama",4185,"Elba city, Alabama",3940,,
1600000US0123320,"Elberta town, Alabama",552,"Elberta town, Alabama",1498,,
1600000US0123344,"Eldridge town, Alabama",184,"Eldridge town, Alabama",130,,
1600000US0123488,"Elkmont town, Alabama",470,"Elkmont town, Alabama",434,,
1600000US0123656,"Elmore town, Alabama",199,"Elmore town, Alabama",1262,,
1600000US0124184,"Enterprise city, Alabama",21178,"Enterprise city, Alabama",26562,,
1600000US0124256,"Epes town, Alabama",206,"Epes town, Alabama",192,,
1600000US0124568,"Eufaula city, Alabama",13908,"Eufaula city, Alabama",13137,,
1600000US0124616,"Eunola town, Alabama",182,"Eunola CDP, Alabama",243,,
1600000US0124664,"Eutaw city, Alabama",1878,"Eutaw town, Alabama",2934,,
1600000US0124688,"Eva town, Alabama",491,"Eva town, Alabama",519,,
